module	version	license	license_file	source
github.com/Masterminds/semver/v3	v3.4.0	MIT	third_party/licenses/github.com/Masterminds/semver/v3/LICENSE.txt	https://github.com/Masterminds/semver/blob/v3.4.0/LICENSE.txt
github.com/beevik/etree	v1.6.0	BSD-2-Clause	third_party/licenses/github.com/beevik/etree/LICENSE	https://github.com/beevik/etree/blob/v1.6.0/LICENSE
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc	ISC	third_party/licenses/github.com/davecgh/go-spew/spew/LICENSE	https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE
github.com/dustin/go-humanize	v1.0.1	MIT	third_party/licenses/github.com/dustin/go-humanize/LICENSE	https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE
github.com/dyatlov/go-opengraph/opengraph	v0.0.0-20220524092352-606d7b1e5f8a	MIT	third_party/licenses/github.com/dyatlov/go-opengraph/opengraph/LICENSE	https://github.com/dyatlov/go-opengraph/blob/606d7b1e5f8a/opengraph/LICENSE
github.com/fatih/color	v1.19.0	MIT	third_party/licenses/github.com/fatih/color/LICENSE.md	https://github.com/fatih/color/blob/v1.19.0/LICENSE.md
github.com/francoispqt/gojay	v1.2.13	MIT	third_party/licenses/github.com/francoispqt/gojay/LICENSE	https://github.com/francoispqt/gojay/blob/v1.2.13/LICENSE
github.com/go-asn1-ber/asn1-ber	v1.5.7	MIT	third_party/licenses/github.com/go-asn1-ber/asn1-ber/LICENSE	https://github.com/go-asn1-ber/asn1-ber/blob/v1.5.7/LICENSE
github.com/goccy/go-yaml	v1.19.2	MIT	third_party/licenses/github.com/goccy/go-yaml/LICENSE	https://github.com/goccy/go-yaml/blob/v1.19.2/LICENSE
github.com/golang/protobuf	v1.5.4	BSD-3-Clause	third_party/licenses/github.com/golang/protobuf/ptypes/empty/LICENSE	https://github.com/golang/protobuf/blob/v1.5.4/LICENSE
github.com/google/uuid	v1.6.0	BSD-3-Clause	third_party/licenses/github.com/google/uuid/LICENSE	https://github.com/google/uuid/blob/v1.6.0/LICENSE
github.com/gorilla/websocket	v1.5.3	BSD-2-Clause	third_party/licenses/github.com/gorilla/websocket/LICENSE	https://github.com/gorilla/websocket/blob/v1.5.3/LICENSE
github.com/hashicorp/errwrap	v1.1.0	MPL-2.0	third_party/licenses/github.com/hashicorp/errwrap/LICENSE	https://github.com/hashicorp/errwrap/blob/v1.1.0/LICENSE
